CATEGORY,RANK,PERCENTILE
GENERAL,13,100
GENERAL,34,99.999
GENERAL,53,99.998
GENERAL,69,99.997
GENERAL,80,99.996
GENERAL,91,99.995
GENERAL,101,99.994
GENERAL,131,99.993
GENERAL,140,99.992
GENERAL,152,99.991
GENERAL,164,99.99
GENERAL,237,99.98
GENERAL,372,99.97
GENERAL,489,99.96
GENERAL,604,99.95
GENERAL,726,99.94
GENERAL,857,99.93
GENERAL,1000,99.92
GENERAL,1107,99.91
GENERAL,1242,99.9
GENERAL,1362,99.89
GENERAL,1461,99.88
GENERAL,1576,99.87
GENERAL,1703,99.86
GENERAL,1822,99.85
GENERAL,1941,99.84
GENERAL,2055,99.83
GENERAL,2173,99.82
GENERAL,2301,99.81
GENERAL,2430,99.8
GENERAL,2557,99.79
GENERAL,2667,99.78
GENERAL,2775,99.77
GENERAL,2900,99.76
GENERAL,3017,99.75
GENERAL,3140,99.74
GENERAL,3250,99.73
GENERAL,3356,99.72
GENERAL,3463,99.71
GENERAL,3576,99.7
GENERAL,3692,99.69
GENERAL,3813,99.68
GENERAL,3944,99.67
GENERAL,4079,99.66
GENERAL,4188,99.65
GENERAL,4286,99.64
GENERAL,4397,99.63
GENERAL,4514,99.62
GENERAL,4638,99.61
GENERAL,4748,99.6
GENERAL,4862,99.59
GENERAL,4981,99.58
GENERAL,5097,99.57
GENERAL,5209,99.56
GENERAL,5325,99.55
GENERAL,5451,99.54
GENERAL,5557,99.53
GENERAL,5656,99.52
GENERAL,5786,99.51
GENERAL,5907,99.5
GENERAL,6002,99.49
GENERAL,6096,99.48
GENERAL,6233,99.47
GENERAL,6354,99.46
GENERAL,6469,99.45
GENERAL,6586,99.44
GENERAL,6694,99.43
GENERAL,6808,99.42
GENERAL,6929,99.41
GENERAL,7036,99.4
GENERAL,7147,99.39
GENERAL,7274,99.38
GENERAL,7374,99.37
GENERAL,7495,99.36
GENERAL,7610,99.35
GENERAL,7714,99.34
GENERAL,7819,99.33
GENERAL,7919,99.32
GENERAL,8040,99.31
GENERAL,8143,99.3
GENERAL,8241,99.29
GENERAL,8361,99.28
GENERAL,8474,99.27
GENERAL,8573,99.26
GENERAL,8670,99.25
GENERAL,8766,99.24
GENERAL,8885,99.23
GENERAL,9030,99.22
GENERAL,9141,99.21
GENERAL,9237,99.2
GENERAL,9343,99.19
GENERAL,9464,99.18
GENERAL,9581,99.17
GENERAL,9699,99.16
GENERAL,9828,99.15
GENERAL,9937,99.14
GENERAL,10043,99.13
GENERAL,10148,99.12
GENERAL,10279,99.11
GENERAL,10399,99.1
GENERAL,10507,99.09
GENERAL,10615,99.08
GENERAL,10733,99.07
GENERAL,10841,99.06
GENERAL,10948,99.05
GENERAL,11060,99.04
GENERAL,11163,99.03
GENERAL,11281,99.02
GENERAL,11403,99.01
GENERAL,11529,99
GENERAL,12147,98.9
GENERAL,13279,98.8
GENERAL,14398,98.7
GENERAL,15487,98.6
GENERAL,16614,98.5
GENERAL,17722,98.4
GENERAL,18807,98.3
GENERAL,19966,98.2
GENERAL,21164,98.1
GENERAL,22258,98
GENERAL,23334,97.9
GENERAL,24420,97.8
GENERAL,25528,97.7
GENERAL,26650,97.6
GENERAL,27699,97.5
GENERAL,28784,97.4
GENERAL,29972,97.3
GENERAL,31140,97.2
GENERAL,32215,97.1
GENERAL,33315,97
GENERAL,34474,96.9
GENERAL,35573,96.8
GENERAL,36681,96.7
GENERAL,37787,96.6
GENERAL,38909,96.5
GENERAL,40015,96.4
GENERAL,41105,96.3
GENERAL,42217,96.2
GENERAL,43271,96.1
GENERAL,44458,96
GENERAL,45619,95.9
GENERAL,46695,95.8
GENERAL,47807,95.7
GENERAL,48909,95.6
GENERAL,50035,95.5
GENERAL,51148,95.4
GENERAL,52230,95.3
GENERAL,53373,95.2
GENERAL,54566,95.1
GENERAL,55703,95
GENERAL,61836,94
GENERAL,72959,93
GENERAL,84310,92
GENERAL,99968,91
GENERAL,106785,90
GENERAL,118332,89
GENERAL,130130,88
