Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,52186,109845,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,65507,65507,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,10579,13688,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,23930,23930,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,36621,79784,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,74483,93080,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11070,13696,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Female-Only,5499,5499,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,11178,12515,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,16620,16620,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5264,5303,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,6320,6320,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,34717,40155,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,45631,46468,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5140,7144,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Female-Only,4307,4307,7,Punjab
NIT Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,3137,3189,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,34280,80428,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,36798,59619,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,8660,10969,7,Punjab
