CATEGORY,RANK,PERCENTILE
GEN,13,100.0
GEN,34,99.999
GEN,53,99.99799999999999
GEN,69,99.99700000000001
GEN,80,99.99600000000001
GEN,91,99.995
GEN,101,99.994
GEN,131,99.993
GEN,140,99.992
GEN,152,99.991
GEN,164,99.99
GEN,237,99.98
GEN,372,99.97
GEN,489,99.96
GEN,604,99.95
GEN,726,99.94
GEN,857,99.93
GEN,1000,99.92
GEN,1107,99.91
GEN,1242,99.9
GEN,1362,99.89
GEN,1461,99.88
GEN,1576,99.87
GEN,1703,99.86
GEN,1822,99.85
GEN,1941,99.84
GEN,2055,99.83
GEN,2173,99.82
GEN,2301,99.81
GEN,2430,99.8
GEN,2557,99.79
GEN,2667,99.78
GEN,2775,99.77
GEN,2900,99.76
GEN,3017,99.75
GEN,3140,99.74
GEN,3250,99.73
GEN,3356,99.72
GEN,3463,99.71
GEN,3576,99.7
GEN,3692,99.69
GEN,3813,99.68
GEN,3944,99.67
GEN,4079,99.66
GEN,4188,99.65
GEN,4286,99.64
GEN,4397,99.63
GEN,4514,99.62
GEN,4638,99.61
GEN,4748,99.6
GEN,4862,99.59
GEN,4981,99.58
GEN,5097,99.57
GEN,5209,99.56
GEN,5325,99.55
GEN,5451,99.54
GEN,5557,99.53
GEN,5656,99.52
GEN,5786,99.51
GEN,5907,99.5
GEN,6002,99.49
GEN,6096,99.48
GEN,6233,99.47
GEN,6354,99.46
GEN,6469,99.45
GEN,6586,99.44
GEN,6694,99.43
GEN,6808,99.42
GEN,6929,99.41
GEN,7036,99.4
GEN,7147,99.39
GEN,7274,99.38
GEN,7374,99.37
GEN,7495,99.36
GEN,7610,99.35
GEN,7714,99.34
GEN,7819,99.33
GEN,7919,99.32
GEN,8040,99.31
GEN,8143,99.3
GEN,8241,99.29
GEN,8361,99.28
GEN,8474,99.27
GEN,8573,99.26
GEN,8670,99.25
GEN,8766,99.24
GEN,8885,99.23
GEN,9030,99.22
GEN,9141,99.21
GEN,9237,99.2
GEN,9343,99.19
GEN,9464,99.18
GEN,9581,99.17
GEN,9699,99.16
GEN,9828,99.15
GEN,9937,99.14
GEN,10043,99.13
GEN,10148,99.12
GEN,10279,99.11
GEN,10399,99.1
GEN,10507,99.09
GEN,10615,99.08
GEN,10733,99.07
GEN,10841,99.06
GEN,10948,99.05
GEN,11060,99.04
GEN,11163,99.03
GEN,11281,99.02
GEN,11403,99.01
GEN,11529,99.0
GEN,12147,98.9
GEN,13279,98.8
GEN,14398,98.7
GEN,15487,98.6
GEN,16614,98.5
GEN,17722,98.4
GEN,18807,98.3
GEN,19966,98.2
GEN,21164,98.1
GEN,22258,98.0
GEN,23334,97.9
GEN,24420,97.8
GEN,25528,97.7
GEN,26650,97.6
GEN,27699,97.5
GEN,28784,97.4
GEN,29972,97.3
GEN,31140,97.2
GEN,32215,97.1
GEN,33315,97.0
GEN,34474,96.9
GEN,35573,96.8
GEN,36681,96.7
GEN,37787,96.6
GEN,38909,96.5
GEN,40015,96.4
GEN,41105,96.3
GEN,42217,96.2
GEN,43271,96.1
GEN,44458,96.0
GEN,45619,95.9
GEN,46695,95.8
GEN,47807,95.7
GEN,48909,95.6
GEN,50035,95.5
GEN,51148,95.4
GEN,52230,95.3
GEN,53373,95.2
GEN,54566,95.1
GEN,55703,95.0
GEN,61836,94.0
GEN,72959,93.0
GEN,84310,92.0
GEN,99968,91.0
GEN,106785,90.0
GEN,118332,89.0
GEN,130130,88.0
GEN,141976,87.0
GEN,153907,86.0
GEN,165882,85.0
GEN,177639,84.0
GEN,189877,83.0
GEN,202367,82.0
GEN,214314,81.0
GEN,227235,80.0
GEN,240087,79.0
GEN,252327,78.0
GEN,265147,77.0
GEN,277995,76.0
GEN,291497,75.0
GEN,305230,74.0
GEN,318381,73.0
GEN,330321,72.0
GEN,342830,71.0
GEN,356739,70.0
GEN,370421,69.0
GEN,382485,68.0
GEN,394266,67.0
GEN,407868,66.0
GEN,422549,65.0
GEN,435700,64.0
GEN,448065,63.0
GEN,460707,62.0
GEN,474825,61.0
GEN,487504,60.0
GEN,497911,59.0
GEN,510618,58.0
GEN,523522,57.0
GEN,537131,56.0
GEN,551216,55.0
GEN,563497,54.0
GEN,576180,53.0
GEN,588276,52.0
GEN,599498,51.0
GEN,611938,50.0
GEN,625437,49.0
GEN,636628,48.0
GEN,647358,47.0
GEN,661506,46.0
GEN,673150,45.0
GEN,684114,44.0
GEN,697559,43.0
GEN,710000,42.0
GEN,721578,41.0
GEN,731390,40.0
GEN,741207,39.0
GEN,754680,38.0
GEN,766856,37.0
GEN,777732,36.0
GEN,791697,35.0
GEN,802922,34.0
GEN,811454,33.0
GEN,821579,32.0
GEN,832985,31.0
GEN,847602,30.0
GEN,859527,29.0
GEN,870048,28.0
GEN,880195,27.0
GEN,888842,26.0
GEN,900181,25.0
GEN,910744,24.0
GEN,920113,23.0
GEN,932372,22.0
GEN,944206,21.0
GEN,952800,20.0
GEN,961618,19.0
GEN,971183,18.0
GEN,982250,17.0
GEN,993089,16.0
GEN,999764,15.0
GEN,1013690,14.0
GEN,1021483,13.0
GEN,1032002,12.0
GEN,1042416,11.0
GEN,1051649,10.0
GEN,1061194,9.0
GEN,1069797,8.0
GEN,1079289,7.0
GEN,1089418,6.0
GEN,1098238,5.0
GEN,1106469,4.0
GEN,1115612,3.0
GEN,1124871,2.0
GEN,1133892,1.0
GEN,1142615,0.0
EWS,1,99.999
EWS,2,99.99700000000001
EWS,3,99.99600000000001
EWS,12,99.98
EWS,23,99.97
EWS,32,99.96
EWS,44,99.95
EWS,60,99.93
EWS,77,99.92
EWS,90,99.91
EWS,100,99.9
EWS,109,99.89
EWS,127,99.88
EWS,134,99.87
EWS,149,99.86
EWS,162,99.85
EWS,170,99.84
EWS,183,99.83
EWS,193,99.82
EWS,206,99.81
EWS,218,99.8
EWS,235,99.79
EWS,246,99.78
EWS,255,99.77
EWS,267,99.76
EWS,281,99.75
EWS,294,99.74
EWS,306,99.73
EWS,315,99.72
EWS,326,99.71
EWS,342,99.7
EWS,357,99.69
EWS,373,99.68
EWS,389,99.67
EWS,405,99.66
EWS,418,99.65
EWS,433,99.64
EWS,452,99.63
EWS,461,99.62
EWS,474,99.61
EWS,488,99.6
EWS,503,99.59
EWS,517,99.58
EWS,530,99.57
EWS,543,99.56
EWS,551,99.55
EWS,566,99.54
EWS,582,99.53
EWS,597,99.52
EWS,616,99.51
EWS,629,99.5
EWS,639,99.49
EWS,648,99.48
EWS,663,99.47
EWS,676,99.46
EWS,689,99.45
EWS,710,99.44
EWS,724,99.43
EWS,735,99.42
EWS,748,99.41
EWS,762,99.4
EWS,771,99.39
EWS,785,99.38
EWS,798,99.37
EWS,807,99.36
EWS,823,99.35
EWS,837,99.34
EWS,850,99.33
EWS,864,99.32
EWS,878,99.31
EWS,890,99.3
EWS,903,99.29
EWS,917,99.28
EWS,933,99.27
EWS,948,99.26
EWS,959,99.25
EWS,974,99.24
EWS,990,99.23
EWS,1008,99.22
EWS,1016,99.21
EWS,1030,99.2
EWS,1044,99.19
EWS,1058,99.18
EWS,1073,99.17
EWS,1087,99.16
EWS,1103,99.15
EWS,1119,99.14
EWS,1136,99.13
EWS,1160,99.11
EWS,1176,99.1
EWS,1188,99.09
EWS,1210,99.08
EWS,1222,99.07
EWS,1241,99.06
EWS,1258,99.05
EWS,1274,99.04
EWS,1285,99.03
EWS,1302,99.02
EWS,1313,99.01
EWS,1326,99.0
EWS,1409,98.9
EWS,1560,98.8
EWS,1701,98.7
EWS,1833,98.6
EWS,1986,98.5
EWS,2139,98.4
EWS,2285,98.3
EWS,2437,98.2
EWS,2595,98.1
EWS,2744,98.0
EWS,2890,97.9
EWS,3026,97.8
EWS,3156,97.7
EWS,3316,97.6
EWS,3463,97.5
EWS,3624,97.4
EWS,3800,97.3
EWS,3960,97.2
EWS,4093,97.1
EWS,4229,97.0
EWS,4383,96.9
EWS,4518,96.8
